country,country_import_rank,trade_value_usd_thousand,priority_tier,company_name,rank_in_country,product_keyword,segment,website,phone,email,contact_person,address,source_url,source_type,notes
Portugal,43,13644.29,Tier 2,"Rodrigues de Paula, Lda.",1,"purple garlic; white garlic; peeled garlic",garlic specialist/importer/exporter/wholesaler,https://www.rodrigues-de-paula.pt/,+351 916 052 399,rodrigues-de-paula@rodrigues-de-paula.pt,,"Rua das Barriguinhas, Lote 2, 1º Dto, 3220-118 Miranda do Corvo; point of sale Mercado Abastecedor de Coimbra, Pavilhão A - Box nº1, Rua de Reveles, Taveiro, 3040-881 Coimbra, Portugal",https://www.rodrigues-de-paula.pt/en_gb/index,official website,"Official Rodrigues de Paula pages describe a Portugal garlic specialist commercializing garlic for about 50 years, with national production plus import and export activity, purple garlic from Portugal/Spain, white garlic, peeled garlic and 10 kg/6 kg box or bag formats. Strongest contact-ready fresh whole-garlic Portugal route."
Panama,44,13117.29,Tier 2,Grupo Agrocampo S.A.,1,"fresh garlic; peeled garlic; HSN 0703 alliums",importer/paid-customs target,,,,,,https://www.volza.com/p/garlic-or-indian-potatoes/buyers/buyers-in-panama/hsn-code-0703/,public customs directory + public trade database,"Volza's Panama garlic/Indian-potatoes HSN 0703 page ranks Grupo Agrocampo first with 54 shipments and visible fresh garlic plus peeled garlic entries, while TradeImex separately exposes a Panama HS 070320 garlic-sprout sample under Grupo Agrocampo. Outreach fields are blank because no official public procurement contact was verified; use paid customs before quoting."
Costa Rica,45,12791.59,Tier 2,Alimentos Prosalud SA,1,"peeled garlic; fresh garlic; tuna with garlic; private-label canned foods",seafood processor/export manufacturer/distributor/peeled-garlic buyer,https://alimentosprosalud.com/,(506) 2504-7676,,,"Santa Ana, San Jose, Costa Rica",https://alimentosprosalud.com/contact-us/,official website + public trade database,"Official Alimentos Prosalud pages identify the company as one of Latin America's largest seafood processors and distributors, exporting to 27 countries / 20+ countries, producing private-brand canned products, creating 1,200 Costa Rica jobs, holding 17 certifications, operating under BRC Food Safety since 2005 and ISO 9001 since 2003, and publishing a Santa Ana, San Jose contact page with phone (506) 2504-7676; the public email is obfuscated in the official HTML view, so email is left blank. Official product pages validate garlic as an ingredient/flavor in tuna fillets with garlic in olive oil, but not fresh whole-garlic distribution. Public Trademo pages rank Alimentos Prosalud first for Costa Rica peeled garlic with 332 shipments, first on the global peeled-garlic buyer list with 332 shipments, and first for Costa Rica fresh garlic with 332 shipments. Trademo company profile also shows 281,453 import shipments, 4,779 export shipments and USD 2.37B buyer trade value, but the free top-HS view is seafood/packaging-oriented rather than garlic-specific. Treat as Costa Rica's best peeled-garlic processing/FCL signal and use paid customs to confirm garlic HS/product ownership, supplier origins and procurement desk; validate fresh whole-garlic FCL against Fruta Internacional, Agrofresko, JIMAP, Fresh Garden, Comercializadora Frutas Salomon, Frumusa, Importadora Cajisa, Alimentos Kamuk and INCER Produce before quoting."
Austria,46,12511.31,Tier 2,Dorfinger KG,1,"fresh garlic; onions; potatoes; garlic packing; fresh produce",produce packer/importer/exporter/wholesaler,https://dorfingers.at/,+43 1 616 99 40,office@dorfingers.at,,"Laxenburger Straße 365, 1230 Wien; Betriebsstraße 14, 2284 Untersiebenbrunn, Austria",https://dorfingers.at/produkte/,official website + public registry,"Official products page says Dorfinger processes high-quality onions and garlic in addition to potatoes, works with partner suppliers, offers co-packing, and follows international quality standards. Official contact page publishes central phone/email plus Vienna wholesale-market shop and Untersiebenbrunn packstation; official homepage says Dorfinger processes more than 50,000 tonnes of fresh potatoes and onions annually at two sites. WKO, Firmeninfo and Grossmarkt Vienna public records classify the company in import/export and wholesale of potatoes, garlic, onions, fruit/vegetables and dried fruit. This is Austria's best direct garlic packing and wholesale route; use paid customs to separate domestic packing from imported HS 070320."
Czech Republic,47,12396.11,Tier 2,"DALAT, spol. s r.o.",1,garlic,importer/distributor/food wholesaler,http://www.dalat.cz/,+420 222 132 120,info@dalat.cz,,"Libusska 319/126, Praha-Pisnice, 142 00 Prague, Czech Republic",https://www.trademo.com/czech-republic/buyers/garlic,public trade database + public company directory,"Trademo's public Czech garlic buyers page ranks DALAT first among Czech garlic buyers with 31 shipments, and Info-Praha lists dalat.cz, phone, Prague address and Asian food-product import/wholesale activity. Treat as the first paid-customs Czech garlic ownership target, with product format and supplier origin still needing validation before FCL quoting."
Dominican Republic,48,12240.95,Tier 2,"Hispaniola Grain, S.R.L.",1,fresh garlic,importer/distributor/commodity trader,https://hispaniolagrain.com/,"(809)732-8912 / (809)567-7406",,,"Av. John F. Kennedy, Plaza Hache Local 2-16, Ensanche Naco, Santo Domingo, R. D.",https://hispaniolagrain.com/,official website,"Official site says Hispaniola Grain commercializes commodities with broad garlic experience, lists fresh-garlic presentations, says its products are sold nationwide through an important distributor network, and says its trading division can offer large quantities of garlic through international strategic alliances; this remains the strongest Dominican Republic lead because the garlic fit, distributor network and container-scale trading signal are explicit."
Denmark,49,11917.97,Tier 2,Ingwersen A/S,1,"fresh garlic; peeled garlic; sliced peeled garlic",produce wholesaler/distributor,https://www.ingwersen.dk/,+45 36 46 88 77,kontakt@ingwersen.dk,,"Hørskætten 30, 2630 Taastrup, Denmark",https://www.ingwersen.dk/hvidloeg-pillede-kina-10-kg-01b44,official website,"Official Ingwersen pages list fresh garlic, organic 5 kg garlic, China-origin peeled garlic in 10 kg and 1 kg formats and sliced peeled garlic in 1 kg formats, while the official site publishes Taastrup wholesale contact details. This is Denmark's strongest contact-ready lead because it combines direct garlic formats with produce-wholesale fit."
Finland,50,11672.25,Tier 2,Valkoliekki Oy,1,peeled garlic; fresh garlic; frozen garlic,processor/importer/distributor,https://www.valkoliekki.fi/?lang=en,+358 44 533 7557,,,"Kiilakatu 2, FI-87400 Kajaani, Finland",https://www.valkoliekki.fi/horeca/?lang=en,official website,"Official HORECA page says Valkoliekki imports garlic from Spain, machine-peels cloves, supplies whole peeled cloves plus fresh and frozen garlic packs to Finland's largest wholesale businesses and food-industry buyers, and refines around 200,000 kg of garlic annually."
Paraguay,51,11616.23,Tier 2,Churrasqueria Veneza SRL,1,"fresh garlic; HS 070320 garlic; Chinese garlic",shipment-backed importer/FCL ownership target,,,,,Paraguay,https://www.trademo.com/companies/churrasqueria-veneza-srl/50675703,public trade database,"Trademo company profile says Churrasqueria Veneza SRL is based in Paraguay with 141 import shipments from January 2022 to September 2025, sources mainly from China and primarily imports garlic and fresh garlic. The public sample line shows HS 070320 garlic from Jining Foreign Trading with 26,700 kg shipment weight, while Volza separately shows 143 China-origin HSN 0703 imports and public fresh-food entries of 27,000 kg and 54,000 kg garlic/allium shipments in June 2025. No official procurement contact was verified, so use paid customs before outreach."
Chile,52,11334.63,Tier 2,Importadora Exportadora y Comercial Costa del Pacifico Limitada,1,"garlic; HSN 07032090; fresh produce wholesale",shipment-backed importer/fresh-produce wholesaler,,,,,"Antonia Lopez de Bello 833, Recoleta, Santiago, Chile",https://www.volza.com/p/garlic-garlic/buyers/buyers-in-chile/,public trade database + public registry,"Volza's Chile garlic buyer page identifies IMP EXP COM COSTA DEL PACIF LT as Chile's leading garlic importer with 32 shipments and shows HSN 07032090 as the top garlic HSN code. Volza's company profile separately shows 1,239 import shipments and HSN 0703 exposure with China, Peru, Brazil and Ecuador sourcing, while public Chile registry pages classify Importadora Exportadora y Comercial Costa del Pacifico Limitada as a wholesale fruit-and-vegetable business. No official procurement contact was verified, so use paid customs before outreach."
Trinidad and Tobago,53,11092.69,Tier 2,Pepe's Marketing Ltd.,1,"bulk garlic; fresh produce garlic; potatoes onions garlic; container-load food imports",importer/exporter/wholesaler/distributor,https://pepesgrouptt.com/,"1 (868) 645-7373 / 868-291-7177 / 868-291-6078 / 868-291-3298 / 868-662-2338 / 868-645-5327",info@pepesmkt.com,,"Orange Grove Complex, Cor. Freeman & Orange Grove Rd, St Augustine South, Trinidad & Tobago",https://pepesgrouptt.com/about-us/,official website,"Official Pepe's Group pages say Pepe's Marketing Limited is the food division specializing in importation and exportation of high quality food commodities and that the group has 40+ years importing/exporting and distributing locally and in the Caribbean. Official pages list potatoes, onions and garlic under fresh produce and bulk food products, describe warehousing, walk-in chillers, a larger 80,000 square foot complex and an additional chiller with 4,000-pallet capacity, and the exportation page says the company ships container-load volumes regularly from North America, South America, Europe and Asia. This is now the strongest Trinidad and Tobago FCL route found so far because it combines official direct garlic evidence with bulk import/export, warehousing and regional distribution scale."
Guyana,54,10351.91,Tier 2,Guyimex International Inc,1,"fresh produce; cold storage; food commodities",importer/distributor/cold-chain wholesaler,https://guyimex.com/,"+592-503-1648 / +592-697-5260 / +592-702-1630",,,Guyana,https://guyimex.com/,official website,"Official Guyimex pages position the company as Guyana's supply chain for premium food commodities, specializing in importing fresh produce, meat, seafood and dairy from around the world. The official site highlights climate-controlled cold storage with capacity exceeding 670 pallet spaces, import/export handling at its facility, and service to local and international wholesalers, restaurants, food processors, retailers, grocery, supermarkets, hotels, the oil and gas sector and government agencies. This remains the strongest contact-ready Guyana lead because the official source shows fresh-produce import, cold-chain and B2B channel scale, while paid customs should still separate fresh whole garlic ownership from the Triple R dried-garlic shipment signal."
Norway,55,10069.41,Tier 2,BAMA Gruppen AS,1,"fresh garlic; HS 070320 market demand; national produce distribution",produce importer/distributor/foodservice wholesaler,https://www.bama.no/,22 88 05 00,,"","Nedre Kalbakkvei 40, 0614 Oslo, Norway",https://www.bama.no/ravarer/gronnsaker/lok/hvitlok/,official website + WITS market data,"Official BAMA raw-material pages feature garlic as a standard produce item, while the official company and Storkjøkken pages say BAMA is Norway's leading fruit-and-vegetable company and BAMA Storkjøkken distributes fruit and vegetables to hotels, restaurants, catering, public sector and corporate customers from ten local operating units. WITS 2023 shows Norway imported about 1.38M kg of HS 070320 fresh/chilled garlic, led by Spain and China, so paid customs should test whether BAMA, ASKO, Exotic Fruit, Abiramy, Asian Food Import, Lunde or another specialist owns the main fresh-garlic flow. BAMA remains the strongest contact-ready Norway lead because the official source combines direct fresh-garlic evidence with national produce-import and foodservice-wholesale footprint."
Sweden,56,9928.10,Tier 2,Grönsaksmästarna AB,1,"fresh garlic; HS 070320 market demand; produce wholesale/import",produce wholesaler/importer/distributor,https://www.gronsaksmastarna.se/,+46 (0)42-60 00 500,info@gronsaksmastarna.se,Victor Tadic,"Knut Påls väg 5, 256 69 Helsingborg, Sweden",https://www.gronsaksmastarna.se/en/prouducts/onions/garlic/,official website + WITS market data,"Official Grönsaksmästarna product pages list garlic as a standard item with both Swedish-grown and import availability, and the official contact page publishes Helsingborg headquarters details plus purchasing and sales manager Victor Tadic. WITS 2023 reports Sweden imported about USD 18.18M and 4.15M kg of HS 070320 fresh/chilled garlic, led by Spain, the Netherlands and Germany. Grönsaksmästarna remains the strongest contact-ready official fresh-garlic lead, while paid customs should test whether Grönsaksmästarna, Dole/Everfresh/Ewerman, IND Traders, GG Handel/Wernsing, Matkompaniet or another specialist owns the main fresh, peeled, frozen/IQF or processed garlic flows."
Croatia,57,9698.90,Tier 2,Frutiko Group d.o.o.,7,fresh garlic; wholesale and distribution of fruit and vegetables,importer/distributor/wholesaler,https://frutikogroup.hr/en/,+385 (1) 2452-770,frutikogroup@gmail.com,,"Slavonska Avenija 7, Wholesale market Zagreb, 10000 Zagreb, Croatia",https://frutikogroup.hr/en/products/vegetable/,official website,"Official Frutiko Group pages explicitly list garlic in the vegetable assortment and describe the company as a wholesale and distribution specialist for fruit and vegetables, including buying, selling, distribution, storage, transshipment and international shipping. The official source also says Frutiko distributes produce from Croatia, European Union countries and third countries, serves national and international retail chains, uses freezer-equipped transport capacity, and publishes direct Zagreb wholesale-market contact details. This is now the strongest Croatia lead because it combines direct fresh-garlic evidence with import/distribution infrastructure and year-round wholesale produce reach."
Kazakhstan,58,9584.37,Tier 2,Magnum Cash&Carry LLP,1,wholesale groceries; produce supply,wholesale retailer/foodservice supplier,https://hr.magnum.kz/en/,+7 (727) 346 73 22,info@magnum.kz,Azamat Kabdrakhman,"1/10, Astana microdistrict, Almaty, Kazakhstan",https://hr.magnum.kz/en/projects/,official website,"Official Magnum pages describe Magnum as the No.1 retailer in Kazakhstan with 200+ stores, name Azamat Kabdrakhman as Director of the Wholesale Sales Department, and say the wholesale direction serves cafes, restaurants, retail stores, entrepreneurs, and large companies with organized supply chains. Garlic fit is inferred from the company's produce-retail and business-wholesale profile rather than a direct garlic SKU, but this is still the strongest initial Kazakhstan lead for container-scale outreach."
Switzerland,59,9245.54,Tier 2,H.J.Gabathuler AG,10,"fresh whole garlic; peeled garlic; frozen garlic; chilled garlic puree",garlic importer/distributor/specialty food supplier,https://gabathuler-foodmarketing.ch/,+41 71 722 07 47,info@gabathuler-foodmarketing.ch,,"Hauptstrasse 145, 9434 Au (SG), Switzerland",https://gabathuler-foodmarketing.ch/knoblauch-frisch-getrocknet-tiefgefroren/,official website,"Official H.J.Gabathuler pages say the company specializes in trading and sourcing mushrooms, garlic, herbs and vegetables for food wholesale, retail and processing industry. The official garlic page lists fresh whole and peeled garlic, frozen garlic cloves, chopped garlic and puree, chilled Bresc garlic products and frozen Dorot garlic cubes, while the official home page publishes direct phone, email and address details. This is now the strongest Switzerland lead because it combines multiple Unyra-relevant garlic formats with broad B2B channel fit across wholesale, retail and processing industry."
Hungary,60,9022.57,Tier 2,Cropfood TÉSZ Zrt.,1,fresh garlic; spring garlic,produce wholesaler/distributor,https://cropfood.hu/,+36 30 334-6870,info@cropfood.hu,,"2211 Vasad, István király u. 11, Hungary",https://cropfood.hu/en/products/garlic,official website,"Official Cropfood garlic and spring-garlic pages say both products are always available in the company's wholesale assortment and ask buyers to request an offer, while the official about and contact pages position Cropfood as a direct trading partner to supermarket chains with a logistics centre in Vasad. This is the strongest initial Hungary lead because the official source combines direct garlic evidence with a clear produce-wholesale and retail-supply profile."
"Serbia, FR(Serbia/Montenegro)",61,8844.13,Tier 3,VOCE PROMET d.o.o.,9,"fresh garlic and onion; imported and domestic fruits and vegetables; regional distribution",importer/distributor/wholesaler,https://www.vocepromet.net/,"+381 17 404 042 / +381 60 4477 355",vocepromet@hotmail.com,,"Bledska 1, Vranje, Serbia",https://www.vocepromet.net/en/contact.php,official website,"Official Voce Promet contact pages list garlic and onion among traded products and publish direct Vranje landline, mobile and email contacts. Official about pages describe the company as one of the biggest companies in southern Serbia, importing and exporting fruits and vegetables, running banana-ripening capacity, and distributing goods across the south, central and west of Serbia. This is now the strongest Serbia lead because it combines direct garlic product evidence with importer, distributor and wholesaler fit, unlike retailer-only garlic listings."
Uzbekistan,62,8277.13,Tier 3,UzAgroProduct,1,fresh young garlic; dried garlic,exporter/supplier/packer,https://www.uzagroproduct.com/,+998 (90) 905 07 57,sales@uzagroproduct.com,,"Fergana, Galakon ZZ, Uzbekistan",https://www.uzagroproduct.com/,official website,"Official UzAgroProduct pages explicitly say the company offers both fresh young garlic from the new harvest and high-quality dried garlic, with processing and customized packing services, efficient logistics and strict quality control. This is now Uzbekistan's strongest contact-ready official direct-garlic route. OOO First Fruits remains the strongest paid-customs/FCL ownership target because public NBD, Volza and Trademo summaries identify it as a high-volume Uzbekistan importer with related HS 07032000 garlic-code evidence, but no official website or direct public contact was verified."
Lithuania,63,8225.06,Tier 3,UAB Baltic Fresh Fruit,4,"garlic purchasing; fresh fruits and vegetables; supermarket wholesale",produce importer/wholesaler/distributor,https://bff.lt/en/about-us/,00370 650 24901,julia.sepute@bff.lt,Julia Šeputė,"Stariškės g. 7, Laistų km., Dovilų sen., Klaipėdos r. sav., LT-95369, Lithuania",https://bff.lt/en/contact-us/,official website,"Official Baltic Fresh Fruit pages describe the company as a leading Baltic fruit-and-vegetable trader whose core business is wholesale supply to Lithuanian supermarket chains and Baltic buyers, with trade connections in more than 30 countries and 13,700 square meters of warehouses in Klaipėda and Vilnius. The official contact page publishes a purchasing-department contact specifically covering garlic, listing Julia Šeputė with direct email and mobile number. This is the strongest current Lithuania lead because the official sources combine direct garlic purchasing ownership with produce-import, warehousing and supermarket-wholesale scale."
Ukraine,64,7991.74,Tier 3,LLC Fozzy Commerce Ukraine,11,"fresh garlic import shipments; direct import and distribution; retail-group procurement",importer/distributor/retail-group procurement,https://fozzycommerce.com.ua/,,,,"Prospekt Pavla Tychyny 1V, office 189, Kyiv 02152, Ukraine",https://fozzycommerce.com.ua/,official website + public customs-summary data,"Official Fozzy Commerce pages say the company is part of Fozzy Group, handles wholesale trade, actively develops import and distribution, supplies all businesses of the holding, works directly with producers in more than 60 countries and had 1,200 direct-contract partners. Public Volza fresh-garlic buyer data lists LLC Fozzy Commerce Ukraine among Ukraine's top fresh-garlic importers, with more than 100 fresh-garlic import shipments in the public buyer table. This now outranks AGROFRESH GROUP because Fozzy Commerce combines official buyer-side direct-import infrastructure, national retail-group demand and public fresh-garlic import evidence, while AGROFRESH remains a strong direct-contact specialist for dry bulb and vacuum-peeled garlic."
Russian Federation,65,7632.60,Tier 3,X5 Group / X5 Import,4,"fresh garlic; fruits and vegetables direct import; supplier procurement",retailer/direct importer/procurement buyer,https://x5.ru/en/,"+7 495 662 88 88 / +7 495 789 95 95",import_fv@x5.ru / direct_import@x5.ru,,"119049, Russia, Moscow, Koroviy Val street, 5, building 1",https://x5.ru/en/partners/x5-import/,official website,"Official X5 Import pages say X5 directly imports goods from more than 70 countries through more than 1,500 suppliers, prioritizes seasonal fruits and vegetables, and operates three multi-temperature hubs with infrastructure for fruit and vegetable storage. Official supplier pages publish foreign-supplier category emails for fruits and vegetables and grocery/fresh products plus corporate phone and address, while official Perekrestok product-category pages list multiple fresh garlic SKUs. This now outranks the prior specialist supplier because it is the strongest buyer-side Russian Federation lead for full-container outreach, combining direct import infrastructure, produce procurement contacts and national retail demand."
Bahrain,66,7385.56,Tier 3,LuLu Bahrain Hypermarket WLL,4,"fresh garlic; garlic paste; garlic powder; garlic pickle; public garlic buyer evidence",retailer/importer/procurement buyer,https://gcc.luluhypermarket.com/en-bh/,"+973 17553555 / +973 17558320 / WhatsApp +973 65005858",,,"P.O. Box 21584, Kingdom of Bahrain",https://gcc.luluhypermarket.com/en-bh/p/18658-ea/,official website + public customs-summary data,"Official LuLu Bahrain product pages list fresh Garlic Pure White China 250 g and other garlic formats, while public Trademo Bahrain garlic buyer data lists Lulu Bahrain Hypermarket WLL with Shipment Count 275 and Lulu Bahrain Hypermarket SPC with Shipment Count 178. This now outranks MBT Fruits and Vegetables for top Bahrain lead because it combines direct official garlic assortment with the strongest public garlic buyer evidence in the country, although MBT remains a better pure produce-wholesale contact."
Senegal,67,6973.19,Tier 3,Sadidal,1,fresh white garlic; garlic in carton,importer/distributor/producer,https://sadidal.sn/,+221 33 855 95 99,contact@sadidal.sn,,"Marché Gueule Tapée, P.A. N°652, Dakar, Senegal",https://sadidal.sn/,official website,"Official Sadidal pages explicitly list fresh white garlic and garlic in carton under the Tawffex brand, while the company describes itself as a Senegalese agro-food distribution business specialized in importing and distributing food products across Senegal and the sub-region with logistics, storage, and same-day Dakar delivery. This is the strongest initial Senegal lead because the official source combines direct garlic evidence with importer-distributor scale and national distribution reach."
Jordan,68,6777.55,Tier 3,Jordan Oasis for Fruit and Vegetables,1,imported garlic; fresh fruits and vegetables,importer/wholesaler/retailer/logistics provider,https://www.jordoasis.com/,+962 6 412 35 34,,,"Amman Central Vegetables Market, Khreibet Al Souq, Amman, Jordan",https://www.jordoasis.com/about,official website,"Official Jordan Oasis pages state the company is a prominent leader in the import, wholesale and retail of fruits and vegetables in the Jordanian market, provides cold stores and warehouse services, and explicitly lists China garlic among its import origins. This is the strongest initial Jordan lead because the official source combines direct garlic-import evidence with wholesale, retail, and logistics capability."
Slovak Republic,69,6446.03,Tier 3,LUNYS s.r.o.,1,fresh garlic,importer/distributor/wholesaler/retailer/logistics provider,https://www.lunys.sk/,+421 908 70 60 50,zakaznik@lunys.sk,,"Hlavná 4512/96, 059 51 Poprad, Slovakia",https://www.lunys.sk/produkt/cesnak-volny/,official website,"Official Lunys product pages directly list fresh garlic in the assortment, while the company's official about and contact pages describe Lunys as one of Slovakia's leading food and fresh-produce distributors, working with suppliers across Europe, moving 58,000,000 kg annually, and serving wholesale, retail, horeca, and home-delivery channels nationwide. This is the strongest initial Slovak Republic lead because the official sources combine direct fresh-garlic evidence with large domestic logistics and distribution scale."
Mongolia,70,6230.39,Tier 3,Gatsuurt LLC,1,fresh garlic; vacuum-sealed vegetables,producer/distributor/wholesaler/retailer,https://gatsuurt.mn/,(+976) 70171907,sales_info@gatsuurt.mn,,"Gatsuurt LLC headquarter, west of Thermal Power Plant 2, 20th khoroo, Bayangol district, Ulaanbaatar City, Mongolia",https://gatsuurt.mn/en/products/food/vegetable,official website,"Official Gatsuurt vegetable pages directly list garlic in the assortment and publish head-office contacts, while the company’s official warehouse and food pages show large-scale storage, cool-chain infrastructure, and nationwide factory stores. This is the strongest initial Mongolia lead because the official source combines direct garlic evidence with integrated production, warehousing, and broad domestic distribution fit."
Malta,71,6009.99,Tier 3,FNG Supplies Co Ltd,1,garlic; fresh herbs and vegetables,wholesaler/distributor/catering supplier,https://www.fngsuppliesltd.com/,"99 455 911 / 99 892 959",sales@fngmalta.com,,"Sqaq Tac-Cawla Triq Il-Belt Valletta, Rabat RBT 5320, Malta",https://www.fngsuppliesltd.com/our-produce,official website,"Official FNG produce pages directly list garlic in the herb assortment, while the company’s home and contact pages describe the business as fruit and vegetable wholesalers supplying the catering trade across Malta and Gozo, with named sales channels and free island-wide deliveries. This is the strongest initial Malta lead because the official sources combine direct garlic evidence with clear B2B catering and wholesale distribution fit."
Slovenia,72,5764.35,Tier 3,KRNC d.o.o.,1,fresh garlic; fresh vegetables; processed vegetables,wholesaler/distributor/processor/foodservice supplier,https://www.krnc.si/,+386 (0)7 393 09 00,info@krnc.si,,"Mestne njive 14, 8000 Novo mesto, Slovenia",https://www.krnc.si/si/predstavitev/,official website,"Official KRNC presentation and online ordering pages explicitly list garlic among the fresh vegetables, while the company states it sells fresh fruits and vegetables, frozen and canned programs, operates a vegetable-processing line, and delivers with its own fleet across Slovenia including kitchen chains such as Sodexo and Eurest. This is the strongest initial Slovenia lead because the official sources combine direct fresh-garlic evidence with nationwide B2B produce distribution and processing fit."
Jamaica,73,5708.50,Tier 3,Spanish Grain Store Limited,1,garlic; fresh produce; groceries,importer/producer/distributor/wholesaler,https://spanishgrain.com/,876-595-5095,,,"15 Second Street, Newport West Kingston 13, Jamaica",https://spanishgrain.com/services/fresh-produce/1000/,official website,"Official Spanish Grain fresh-produce and company pages explicitly list garlic in the assortment and describe the company as one of Jamaica's largest importers, producers, and distributors of meats, grains, and produce, delivering islandwide to wholesalers, supermarkets, restaurants, and over two thousand commercial customers. This is the strongest initial Jamaica lead because the official sources combine direct garlic evidence with large-scale national import and distribution fit."
Luxembourg,74,5300.81,Tier 3,GROSBUSCH SA,1,fresh garlic,importer/distributor/wholesaler/processor,https://grosbusch.lu/,+352 403 703,contact@grosbusch.lu,,"10-11 Z.A.E Le Triangle Vert, L-5691 Ellange, Luxembourg",https://shop.grosbusch.lu/fr/epices-condiments/ail.html?origine=6,official website,"Official Grosbusch shop pages directly list fresh white garlic, while the company site and legal notice state Grosbusch has been active in the importation and distribution of fresh fruits and vegetables in Luxembourg since 1917 and operates logistics, pre-packaging, and fresh-cut services. This is the strongest initial Luxembourg lead because the official sources combine direct garlic evidence with long-established import and distribution scale."
"Egypt, Arab Rep.",75,5246.10,Tier 3,Tomna for Agricultural Investment,1,fresh garlic; dry garlic; frozen vegetables,grower/producer/processor/export supplier,https://tomna.farm/,+20 100 27 17 275,Info@tomna.farm,,"Garden City, Cairo, Egypt",https://tomna.farm/contact-us/,official website,"Official Tomna pages describe the company as a leading grower and producer of garlic in Egypt, offering fresh and dry garlic plus frozen produce, with integrated farming, grading, sorting, packing, retail packaging, logistics, delivery, and export. The official site also says Tomna supplies top-tier wholesalers and retailers globally. This is the strongest initial Egypt lead because the official sources combine direct garlic specialization with integrated processing and large-scale delivery capability."
Peru,76,4941.96,Tier 3,White Lion Foods,1,fresh garlic; Andean purple garlic; 20-foot and 40-foot container supply,grower/processor/exporter/bulk supplier,https://whitelionfoods.com/,"+51 987 393 772; +44 7850 213 432",info@whitelionfoods.com,,"Peru facilities: Puerto Maldonado, Madre de Dios, Peru; garlic fields in Arequipa, Peru",https://whitelionfoods.com/,official website,"Official White Lion Foods pages describe the group as producing fresh garlic in Peru, growing more than 100 hectares of garlic in Arequipa, and supplying bulk fresh garlic in 20-foot or 40-foot containers through the Port of Callao to more than 45 countries. This is Peru's strongest public FCL-style garlic lead because the official source combines direct garlic evidence, container-scale logistics and international distribution."
Algeria,77,4928.05,Tier 3,Melianex,1,fresh garlic,wholesaler/export supplier/distributor,https://melianex.com/,,,,,https://melianex.com/en/product/fresh-garlic/,official website,"Official Melianex product pages directly list premium white fresh garlic from Algeria with wholesale packaging options, export standards, and a minimum order of 1000kg. This remains Algeria's strongest public lead because the official source combines direct fresh-garlic evidence with clear wholesale/export scale, even though public contact details are not exposed on the product page."
Bulgaria,78,4792.80,Tier 3,Dira Frukt EOOD,1,fresh garlic; fresh fruits and vegetables; produce imports,importer/wholesaler/distributor,https://www.dirafrukt.eu/,+359 (0) 2 9712743,"office@dirafrukt.eu; dira_frukt@abv.bg","Dimitar Vandov; Svetlana Bankova","Sofia (Slatina), Professor Tsvetan Lazarov Blvd. 13, warehouse 109; Parvenets 4110 (Plovdiv), Komatevsko shossee, Vegetable Mart of Parvenets, warehouse 8 and 9, Bulgaria",https://www.dirafrukt.eu/activity_en.html,official website,"Official Dira Frukt pages describe one of Bulgaria's main reliable importers of fruits and vegetables, direct imports from multiple European and Turkish sources, over 800 trucks per year, temperature-controlled warehousing and national distribution. Volza's public Bulgaria garlic-fresh buyer table also lists Dira Frukt with public garlic-fresh shipment evidence, making it Bulgaria's strongest contactable fresh-garlic lead."
Mauritius,79,4756.26,Tier 3,Agricultural Marketing Board (AMB),1,fresh whole garlic; garlic seed; controlled products,parastatal importer/market regulator/wholesale buyer,https://ambmauritius.mu/,(230) 433 4025,agbd@intnet.mu,,"Dr Georges Leclezio Avenue, Moka, Mauritius",https://ambmauritius.mu/services/,official website,"Official AMB services and products pages list fresh whole garlic under HS 0703 2000 as a controlled product and list Garlic Chinese and garlic seed among AMB products. The Mauritius Chamber of Commerce import guide states AMB clearance is required before importing fresh whole garlic, making AMB the strongest Mauritius garlic-specific gatekeeper/lead. For direct commercial selling, pair this with Proxifresh, International Food Solution, Panagora and BrandActiv validation."
"Bahamas, The",80,4747.29,Tier 3,Sysco Bahamas Food Services,1,"fresh produce; imported foods; foodservice products",foodservice distributor/importer/wholesaler,https://www.bahamafood.com/,"(242) 361-2000",foodsales@bahamafood.com,,"PO Box N-4401, Gladstone Road, Nassau, NP, The Bahamas",https://www.bahamafood.com/our-products,official website,"Official Sysco Bahamas pages say the company delivers to resorts, hotels, restaurants and institutions across Nassau and more than 20 Family Islands, serves more than 2,000 customers, offers over 10,000 products, and supplies fresh produce and imported foods. The official history also notes the acquisition of Prime Bahamas, a major fresh produce distributor. This is the strongest initial Bahamas lead because the official sources combine fresh-produce evidence, large-scale cold-chain distribution, and clear hotel and foodservice demand."
